Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,36,14/11/2023,13:10:10,1,16.23,20.85
manual,36,14/11/2023,13:10:10,2,16.18,20.83
manual,36,14/11/2023,13:10:10,3,,
manual,36,14/11/2023,13:10:10,4,,
manual,36,14/11/2023,13:10:10,5,15.61,19.98
manual,36,14/11/2023,13:10:10,6,15.54,19.77
manual,36,14/11/2023,13:10:10,7,14.88,18.64
manual,36,14/11/2023,13:10:10,8,14.81,18.53
manual,36,14/11/2023,13:10:10,9,15.53,19.74
manual,36,14/11/2023,13:10:10,10,15.62,19.75
manual,76,14/11/2023,22:51:39,1,14.24,17.33
manual,76,14/11/2023,22:51:39,2,14.19,17.22
manual,76,14/11/2023,22:51:39,3,,
manual,76,14/11/2023,22:51:39,4,,
manual,76,14/11/2023,22:51:39,5,11.8,13.1
manual,76,14/11/2023,22:51:39,6,11.68,12.93
manual,76,14/11/2023,22:51:39,7,12.49,14.31
manual,76,14/11/2023,22:51:39,8,12.4,14.16
manual,76,14/11/2023,22:51:39,9,13.15,15.42
manual,76,14/11/2023,22:51:39,10,13.08,15.33
manual,109,15/11/2023,01:51:26,1,14.25,17.35
manual,109,15/11/2023,01:51:26,2,14.2,17.23
manual,109,15/11/2023,01:51:26,3,,
manual,109,15/11/2023,01:51:26,4,,
manual,109,15/11/2023,01:51:26,5,11.81,13.14
manual,109,15/11/2023,01:51:26,6,11.69,12.94
manual,109,15/11/2023,01:51:26,7,12.48,14.32
manual,109,15/11/2023,01:51:26,8,12.43,14.17
manual,109,15/11/2023,01:51:26,9,,15.42
manual,109,15/11/2023,01:51:26,10,13.1,15.37
manual,100,15/11/2023,09:29:25,1,12.18,13.73
manual,100,15/11/2023,09:29:25,2,12.12,13.61
manual,100,15/11/2023,09:29:25,3,,
manual,100,15/11/2023,09:29:25,4,,
manual,100,15/11/2023,09:29:25,5,13.69,16.38
manual,100,15/11/2023,09:29:25,6,13.59,16.21
manual,100,15/11/2023,09:29:25,7,12.32,13.89
manual,100,15/11/2023,09:29:25,8,12.2,13.74
manual,100,15/11/2023,09:29:25,9,11.88,13.18
manual,100,15/11/2023,09:29:25,10,11.78,13.02
manual,105,17/11/2023,12:19:09,1,15.34,19.26
manual,105,17/11/2023,12:19:09,2,15.31,19.15
manual,105,17/11/2023,12:19:09,3,15.68,19.93
manual,105,17/11/2023,12:19:09,4,15.64,19.81
manual,105,17/11/2023,12:19:09,5,11.61,12.78
manual,105,17/11/2023,12:19:09,6,11.52,12.61
manual,105,17/11/2023,12:19:09,7,13.43,16.03
manual,105,17/11/2023,12:19:09,8,13.36,15.83
manual,105,17/11/2023,12:19:09,9,14.15,17.13
manual,105,17/11/2023,12:19:09,10,14.11,17.07
manual,99,18/11/2023,03:32:08,1,14.23,17.32
manual,99,18/11/2023,03:32:08,2,14.2,17.21
manual,99,18/11/2023,03:32:08,3,,
manual,99,18/11/2023,03:32:08,4,,
manual,99,18/11/2023,03:32:08,5,11.8,13.12
manual,99,18/11/2023,03:32:08,6,11.69,12.92
manual,99,18/11/2023,03:32:08,7,12.48,14.3
manual,99,18/11/2023,03:32:08,8,12.4,14.16
manual,99,18/11/2023,03:32:08,9,13.14,15.4
manual,99,18/11/2023,03:32:08,10,13.08,15.33
manual,33,18/11/2023,23:07:04,1,17.07,22.12
manual,33,18/11/2023,23:07:04,2,16.98,22.03
manual,33,18/11/2023,23:07:04,3,18.94,26.08
manual,33,18/11/2023,23:07:04,4,18.74,25.78
manual,33,18/11/2023,23:07:04,5,14.41,17.68
manual,33,18/11/2023,23:07:04,6,14.3,17.5
manual,33,18/11/2023,23:07:04,7,15.12,18.84
manual,33,18/11/2023,23:07:04,8,15.04,18.66
manual,33,18/11/2023,23:07:04,9,,20.31
manual,33,18/11/2023,23:07:04,10,,20.24
manual,66,19/11/2023,03:01:38,1,15.91,20.41
manual,66,19/11/2023,03:01:38,2,15.88,20.31
manual,66,19/11/2023,03:01:38,3,27.28,
manual,66,19/11/2023,03:01:38,4,27.18,
manual,66,19/11/2023,03:01:38,5,15.18,19.2
manual,66,19/11/2023,03:01:38,6,15.12,19.05
manual,66,19/11/2023,03:01:38,7,14.64,18.09
manual,66,19/11/2023,03:01:38,8,14.59,17.96
manual,66,19/11/2023,03:01:38,9,15.16,19.2
manual,66,19/11/2023,03:01:38,10,15.08,19.08
manual,14,20/11/2023,17:43:26,1,14.16,17.17
manual,14,20/11/2023,17:43:26,2,14.12,17.09
manual,14,20/11/2023,17:43:26,3,,
manual,14,20/11/2023,17:43:26,4,,
manual,14,20/11/2023,17:43:26,5,11.74,12.97
manual,14,20/11/2023,17:43:26,6,11.62,12.8
manual,14,20/11/2023,17:43:26,7,12.5,14.34
manual,14,20/11/2023,17:43:26,8,12.43,14.2
manual,14,20/11/2023,17:43:26,9,13.08,15.3
manual,14,20/11/2023,17:43:26,10,12.96,15.24
manual,5,21/11/2023,11:44:44,1,13.75,16.46
manual,5,21/11/2023,11:44:44,2,13.69,16.36
manual,5,21/11/2023,11:44:44,3,,
manual,5,21/11/2023,11:44:44,4,,
manual,5,21/11/2023,11:44:44,5,11.89,13.28
manual,5,21/11/2023,11:44:44,6,11.82,13.1
manual,5,21/11/2023,11:44:44,7,11.86,13.23
manual,5,21/11/2023,11:44:44,8,11.78,13.08
manual,5,21/11/2023,11:44:44,9,12.63,14.52
manual,5,21/11/2023,11:44:44,10,12.55,14.45
manual,37,21/11/2023,12:51:09,1,12.38,14.09
manual,37,21/11/2023,12:51:09,2,12.33,13.95
manual,37,21/11/2023,12:51:09,3,,
manual,37,21/11/2023,12:51:09,4,,
manual,37,21/11/2023,12:51:09,5,13.89,16.78
manual,37,21/11/2023,12:51:09,6,13.78,16.61
manual,37,21/11/2023,12:51:09,7,12.55,14.34
manual,37,21/11/2023,12:51:09,8,12.49,14.2
manual,37,21/11/2023,12:51:09,9,12.17,13.68
manual,37,21/11/2023,12:51:09,10,12.08,13.55
manual,74,23/11/2023,16:07:46,1,12.4,14.08
manual,74,23/11/2023,16:07:46,2,12.34,13.96
manual,74,23/11/2023,16:07:46,3,,
manual,74,23/11/2023,16:07:46,4,,
manual,74,23/11/2023,16:07:46,5,13.79,16.59
manual,74,23/11/2023,16:07:46,6,13.69,16.39
manual,74,23/11/2023,16:07:46,7,12.47,14.19
manual,74,23/11/2023,16:07:46,8,12.34,14.04
manual,74,23/11/2023,16:07:46,9,12.11,13.56
manual,74,23/11/2023,16:07:46,10,12.0,13.41
manual,90,24/11/2023,01:25:18,1,12.39,14.08
manual,90,24/11/2023,01:25:18,2,12.32,13.94
manual,90,24/11/2023,01:25:18,3,19.4,
manual,90,24/11/2023,01:25:18,4,19.31,
manual,90,24/11/2023,01:25:18,5,13.64,16.33
manual,90,24/11/2023,01:25:18,6,13.58,16.19
manual,90,24/11/2023,01:25:18,7,12.42,14.12
manual,90,24/11/2023,01:25:18,8,12.36,13.97
manual,90,24/11/2023,01:25:18,9,12.05,13.49
manual,90,24/11/2023,01:25:18,10,11.96,13.35
manual,53,24/11/2023,12:28:19,1,14.4,17.58
manual,53,24/11/2023,12:28:19,2,14.38,17.5
manual,53,24/11/2023,12:28:19,3,,
manual,53,24/11/2023,12:28:19,4,,
manual,53,24/11/2023,12:28:19,5,12.03,13.54
manual,53,24/11/2023,12:28:19,6,11.93,13.35
manual,53,24/11/2023,12:28:19,7,12.97,15.14
manual,53,24/11/2023,12:28:19,8,12.9,14.99
manual,53,24/11/2023,12:28:19,9,13.34,15.78
manual,53,24/11/2023,12:28:19,10,13.26,15.75
manual,29,24/11/2023,22:05:08,1,14.43,17.65
manual,29,24/11/2023,22:05:08,2,14.41,17.55
manual,29,24/11/2023,22:05:08,3,,
manual,29,24/11/2023,22:05:08,4,,
manual,29,24/11/2023,22:05:08,5,11.68,13.03
manual,29,24/11/2023,22:05:08,6,11.61,12.78
manual,29,24/11/2023,22:05:08,7,12.33,14.03
manual,29,24/11/2023,22:05:08,8,12.27,13.91
manual,29,24/11/2023,22:05:08,9,13.19,15.57
manual,29,24/11/2023,22:05:08,10,13.19,15.49
manual,98,24/11/2023,22:06:02,1,14.42,17.64
manual,98,24/11/2023,22:06:02,2,14.41,17.54
manual,98,24/11/2023,22:06:02,3,,
manual,98,24/11/2023,22:06:02,4,,
manual,98,24/11/2023,22:06:02,5,11.67,13.01
manual,98,24/11/2023,22:06:02,6,11.6,12.77
manual,98,24/11/2023,22:06:02,7,12.33,14.01
manual,98,24/11/2023,22:06:02,8,12.26,13.9
manual,98,24/11/2023,22:06:02,9,13.22,15.55
manual,98,24/11/2023,22:06:02,10,13.17,15.49
manual,91,25/11/2023,16:11:18,1,14.35,17.53
manual,91,25/11/2023,16:11:18,2,14.27,17.42
manual,91,25/11/2023,16:11:18,3,,
manual,91,25/11/2023,16:11:18,4,,
manual,91,25/11/2023,16:11:18,5,11.76,13.06
manual,91,25/11/2023,16:11:18,6,11.66,12.86
manual,91,25/11/2023,16:11:18,7,12.71,14.67
manual,91,25/11/2023,16:11:18,8,12.63,14.53
manual,91,25/11/2023,16:11:18,9,13.24,15.63
manual,91,25/11/2023,16:11:18,10,13.17,15.5
manual,46,26/11/2023,09:54:20,1,16.63,21.27
manual,46,26/11/2023,09:54:20,2,16.56,21.22
manual,46,26/11/2023,09:54:20,3,22.38,
manual,46,26/11/2023,09:54:20,4,22.33,
